split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,favorite caro tamio tu,favorite caro tamio tu,2.0,0.4091,0.0,2.0
test,AESRC2020-INDIAN-ACCENT-G03133-G03133S2364,AESRC2020-INDIAN-ACCENT-G03133,3.186,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,lay the prince ascetic next,lay the prince ascetic next,play the prince as kettic snacks,play the prince as kettic snacks,0.8,0.3333,0.4,1.2
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by benny dick silver man orgestra and corral,play songs by benny dick silver man orgestra and corral,0.75,0.2264,0.5,1.25
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,AESRC2020-INDIAN-ACCENT-G02207,3.92,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,how many branches does shri gayatri bhojnalaya,how many branches does shri gayatri bhojnalaya,how many branches does she gai tree bhujna lai,how many branches does she gai tree bhujna lai,0.7143,0.2174,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did guy three a year become famous,when did guy three a year become famous,0.6667,0.2286,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambu bada pav centre have take away,does best jambu bada pav centre have take away,0.625,0.1333,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2346,AESRC2020-INDIAN-ACCENT-G02207,2.907,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,show more shows like legion,show more shows like legion,show more sauce like legging on,show more sauce like legging on,0.6,0.2963,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rahmet the dharia illahi,play rahmet the dharia illahi,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,change the song to everyday we lit,change the song to everyday we lit,send the song to every day we lead,send the song to every day we lead,0.5714,0.2647,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G53025-G53025S2364,AESRC2020-INDIAN-ACCENT-G53025,2.41,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,put i'm the shit on next,put i m the shit on next,put amd sit on next,put amd sit on next,0.5714,0.2917,0.4286,0.7143
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,4.191,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,are pets allowed in rome sat hotel in us,are pets allowed in rome sat hotel in us,0.5556,0.2093,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,when did bandawla azul day zero and first debut,when did bandawla azul day zero and first debut,0.5556,0.2128,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G03640-G03640S2365,AESRC2020-INDIAN-ACCENT-G03640,4.752,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,when is rahat fateh ali khan and tanishk bagchi next concert,when is rahat fateh ali khan and tanishk bagchi next concert,when is rat fateh alikhan and tani's bhakchi next concert,when is rat fateh alikhan and tani s bhakchi next concert,0.5455,0.1333,0.5455,1.0
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser a looser,i better rock now fits like such a looser a looser,0.5385,0.2407,0.5,0.8462
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by myafati shri ram chandra,play songs by myafati shri ram chandra,0.5,0.1538,0.6667,1.1667
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,stop playing the mill,stop playing the mill,stop playing damill,stop playing damill,0.5,0.1905,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,skip chitrahaar,skip chitrahaar,skip chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G11935-G11935S2364,AESRC2020-INDIAN-ACCENT-G11935,4.49,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,deep diving is the soundtrack to what film,deep diving is the soundtrack to what film,dip diving is the song track to watch film,dip diving is the song track to watch film,0.5,0.1905,0.625,1.125
test,AESRC2020-INDIAN-ACCENT-G13145-G13145S2366,AESRC2020-INDIAN-ACCENT-G13145,3.28,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,is de souza resorts adult only,is de souza resorts adult only,is disease a result adult only,is disease a result adult only,0.5,0.3,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G32335-G32335S2354,AESRC2020-INDIAN-ACCENT-G32335,2.88,INDIAN,small_aesrc_ft_seed47,transcript_raw,gold,where is vanakamal hotel,where is vanakamal hotel,where is one kamal hotel,where is one kamal hotel,0.5,0.1667,0.75,1.25
