split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karuta mito,favorite karuta mito,1.5,0.2727,0.0,1.5
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambu bada pao center have take away,does best jambu bada pao center have take away,0.625,0.1111,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G01955-G01955S2365,AESRC2020-INDIAN-ACCENT-G01955,4.525,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,what's kevee keyam enterprises contact number,what s kevee keyam enterprises contact number,what's kiwi kayam enterprise's contact number,what s kiwi kayam enterprise s contact number,0.5714,0.1333,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,change the song to everyday we lit,change the song to everyday we lit,sends the song to every day we live,sends the song to every day we live,0.5714,0.2353,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,how large is splash top wired x display free,how large is splash top wired x display free,0.5556,0.0909,0.625,1.0
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser or looser,i better rock now fits like such a looser or looser,0.5385,0.2222,0.5,0.8462
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,stop playing the mill,stop playing the mill,stop playing damiel,stop playing damiel,0.5,0.2381,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G01503-G01503S2354,AESRC2020-INDIAN-ACCENT-G01503,2.653,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,of it the plot of lioness,of it the plot of lioness,or what is the plot of lioness,or what is the plot of lioness,0.5,0.28,0.8,1.1667
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,create a playlist with only t n shesha gopalan songs,create a playlist with only t n shesha gopalan songs,0.5,0.0612,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,medium_aesrc_ft_seed44,transcript_raw,gold,skip chitrahaar,skip chitrahaar,skip chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
