split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,favorite caro tha methu,favorite caro tha methu,1.5,0.2381,0.5,2.0
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,AESRC2020-INDIAN-ACCENT-G02207,3.92,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,how many branches does shri gayatri bhojnalaya,how many branches does shri gayatri bhojnalaya,how many branches does she gai three bhujna lai,how many branches does she gai 3 bhujna lai,0.7143,0.2391,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did guy three a year become famous,when did guy 3 a year become famous,0.6667,0.2,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G03640-G03640S2365,AESRC2020-INDIAN-ACCENT-G03640,4.752,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,when is rahat fateh ali khan and tanishk bagchi next concert,when is rahat fateh ali khan and tanishk bagchi next concert,when is radh fathe alik han and tani's bhakchi next concert,when is radh fathe alik han and tani is bhakchi next concert,0.6364,0.2,0.4545,1.0909
test,AESRC2020-INDIAN-ACCENT-G03370-G03370S2354,AESRC2020-INDIAN-ACCENT-G03370,4.21,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,how much is protect handwash masterchef refill packet,how much is protect handwash masterchef refill packet,how much is protekt hand wash master chef refill packet,how much is protekt hand wash master chef refill packet,0.625,0.0566,0.625,1.25
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambobudha pao centre have take away,does best jambobudha pao center have take away,0.625,0.1556,0.5,1.0
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2346,AESRC2020-INDIAN-ACCENT-G02207,2.907,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,show more shows like legion,show more shows like legion,show more sauce like legging on,show more sauce like legging on,0.6,0.2963,0.6,1.2
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rahmet the dharia illahi,play rahmet the dharia illahi,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,change the song to everyday we lit,change the song to everyday we lit,send the song to every day we lead,send the song to every day we lead,0.5714,0.2647,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,when did bandawla azul the zero and first debut,when did bandawla azul the 0 and 1st debut,0.5556,0.2444,0.5556,1.0
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,how large is splash top wired x display free,how large is splash top wired x display free,0.5556,0.0909,0.625,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,small_aesrc_ft_seed42,whisper_norm,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by myafati shri ram chandra,play songs by myafati shri ram chandra,0.5,0.1538,0.6667,1.1667
