split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,favorite car was this,favorite car was this,2.0,0.4091,0.0,2.0
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,skip apni mitti,skip apni mitti,skip your own clay,skip your own clay,1.0,0.8,0.3333,1.3333
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambobada pao centre have take away,does best jambobada pao centre have take away,0.75,0.1556,0.375,1.0
test,AESRC2020-INDIAN-ACCENT-G02207-G02207S2362,AESRC2020-INDIAN-ACCENT-G02207,3.92,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,how many branches does shri gayatri bhojnalaya,how many branches does shri gayatri bhojnalaya,how many branches does she gai three bhujna lai,how many branches does she gai three bhujna lai,0.7143,0.2391,0.5714,1.2857
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did guy three a year become famous,when did guy three a year become famous,0.6667,0.2286,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rahmet the dharia illahi,play rahmet the dharia illahi,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G03903-G03903S2370,AESRC2020-INDIAN-ACCENT-G03903,2.959,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,change the song to everyday we lit,change the song to everyday we lit,send the song to every day we lead,send the song to every day we lead,0.5714,0.2647,0.5714,1.1429
test,AESRC2020-INDIAN-ACCENT-G90222-G90222S2355,AESRC2020-INDIAN-ACCENT-G90222,3.64,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,i want to listen to fledermausland again,i want to listen to fledermausland again,i want to listen to flatter mouth's land again,i want to listen to flatter mouth s land again,0.5714,0.225,0.8333,1.4286
test,AESRC2020-INDIAN-ACCENT-G03957-G03957S2373,AESRC2020-INDIAN-ACCENT-G03957,4.191,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,are pets allowed in the rooms at hotel ines,are pets allowed in the rooms at hotel ines,are pets allowed in rome's hat hotel in us,are pets allowed in rome s hat hotel in us,0.5556,0.2326,0.5556,1.1111
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,small_aesrc_ft_seed44,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,when did bandawla azul day zero and first debut,when did bandawla azul day zero and first debut,0.5556,0.2128,0.5556,1.0
