split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,adjust direction to,adjust direction to,add just a reaction to,add just a reaction to,1.3333,0.2632,0.3333,1.6667
test,AESRC2020-INDIAN-ACCENT-G93639-G93639S2366,AESRC2020-INDIAN-ACCENT-G93639,4.465,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,find gorni kramer music collaborations,find gorni kramer music collaborations,fin gourmet creme al mourjip kodoburations,fin gourmet creme al mourjip kodoburations,1.2,0.5,0.0,1.2
test,AESRC2020-INDIAN-ACCENT-G03840-G03840S2373,AESRC2020-INDIAN-ACCENT-G03840,1.97,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,uninstall choices,uninstall choices,an install choices,an install choices,1.0,0.1176,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,decrease speed,decrease speed,the cruise speed,the cruise speed,1.0,0.3571,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,favorite karu tamyoto,favorite karu tamyoto,1.0,0.2857,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,AESRC2020-INDIAN-ACCENT-G23656,2.674,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,show me mundiyan lyrics,show me mundiyan lyrics,shoni mundiyah lirik,shoni mundiyah lirik,1.0,0.3478,0.0,0.75
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by bennie dick silver man or destroy and core,play songs by bennie dick silver man or destroy and core,0.875,0.2453,0.5,1.375
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,dodge based jambiada pao center have taken away,dodge based jambiada pao center have taken away,0.875,0.2889,0.25,1.0
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,keep the next secret in the sink song,keep the next secret in the sink song,0.8333,0.4286,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rehrma dada ria ilahi,play rehrma dada ria ilahi,0.8,0.2593,0.2,1.0
test,AESRC2020-INDIAN-ACCENT-G90527-G90527S2355,AESRC2020-INDIAN-ACCENT-G90527,4.361,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,is palmolive hand wash sea minerals bottle a reliable product,is palmolive hand wash sea minerals bottle a reliable product,is palm olyv and was seen in it's bottle a reliable product,is palm olyv and was seen in it is bottle a reliable product,0.8,0.2131,0.5,1.3
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen 1st debut,when did one double hour zoom this zero on first debut,when did one double hour zoom this 0 on 1st debut,0.7778,0.4889,0.4444,1.2222
test,AESRC2020-INDIAN-ACCENT-G01722-G01722S1300,AESRC2020-INDIAN-ACCENT-G01722,5.195,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,president clinton displayed no lack of vigor when he began to speak,president clinton displayed no lack of vigor when he began to speak,pressure and clinton the speed no like overrigger when he begin to speed,pressure and clinton the speed no like overrigger when he begin to speed,0.75,0.3731,0.4167,1.0833
test,AESRC2020-INDIAN-ACCENT-G12708-G12708S3370,AESRC2020-INDIAN-ACCENT-G12708,2.307,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,water should be heat,water should be heat,what i should be hit,what i should be hit,0.75,0.25,0.5,1.25
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny_aesrc_ft_seed46,whisper_norm,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by maia pati shirirame chandrap,play songs by maia pati shirirame chandrap,0.6667,0.2308,0.5,1.1667
