split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,favourite karuthamuthu,favourite karuthamuthu,favorite karu tha mytho,favorite karu tha mytho,2.0,0.2273,0.0,2.0
test,AESRC2020-INDIAN-ACCENT-G32681-G32681S2355,AESRC2020-INDIAN-ACCENT-G32681,4.278,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,when did banda ola azul de zirahuen first debut,when did banda ola azul de zirahuen first debut,and did mandawla azul de zero on first debit,and did mandawla azul de zero on first debit,0.6667,0.2766,0.4444,1.0
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,does best jambu bada pao center have take away,does best jambu bada pao center have take away,0.625,0.1111,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G13963-G13963S1299,AESRC2020-INDIAN-ACCENT-G13963,4.961,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,i bet the rope now feels like a such a loser er looser,i bet the rope now feels like a such a loser er looser,i better rock now fits like such a looser are loser,i better rock now fits like such a looser are loser,0.6154,0.2593,0.5833,0.8462
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rehmat the darya elahi,play rehmat the darya elahi,0.6,0.2222,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G53668-G53668S2365,AESRC2020-INDIAN-ACCENT-G53668,3.456,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,switch to malgudi subha songs,switch to malgudi subha songs,switch to malguri shubha song,switch to malguri shubha song,0.6,0.1034,0.4,1.0
test,AESRC2020-INDIAN-ACCENT-G53709-G53709S2373,AESRC2020-INDIAN-ACCENT-G53709,4.96,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,how large is splashtop wired xd is play free,how large is splashtop wired xd is play free,how large is splash top wired x display free,how large is splash top wired x display free,0.5556,0.0909,0.625,1.0
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2355,AESRC2020-INDIAN-ACCENT-G00891,2.59,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,stop playing the mill,stop playing the mill,stop playing damiel,stop playing damiel,0.5,0.2381,0.5,0.75
test,AESRC2020-INDIAN-ACCENT-G02032-G02032S2363,AESRC2020-INDIAN-ACCENT-G02032,5.362,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,create a playlist with only tn seshagopalan songs,create a playlist with only tn seshagopalan songs,create a playlist with only t n shesha gopal songs,create a playlist with only t n shesha gopal songs,0.5,0.102,0.75,1.25
test,AESRC2020-INDIAN-ACCENT-G03556-G03556S2365,AESRC2020-INDIAN-ACCENT-G03556,2.179,INDIAN,medium_aesrc_ft_seed46,transcript_clean,gold,skip chitrahaar,skip chitrahaar,skip chitrahar,skip chitrahar,0.5,0.0667,0.5,1.0
