split,ID,Speaker_ID,Speech_Duration_seconds,Accent,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,AESRC2020-INDIAN-ACCENT-G02287-G02287S3376,AESRC2020-INDIAN-ACCENT-G02287,2.042,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,adjust direction to,adjust direction to,add just a ryexing to,add just a ryexing to,1.3333,0.4737,0.3333,1.6667
test,AESRC2020-INDIAN-ACCENT-G03960-G03960S3378,AESRC2020-INDIAN-ACCENT-G03960,2.197,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,decrease speed,decrease speed,the crease speed,the crease speed,1.0,0.2143,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13083-G13083S2364,AESRC2020-INDIAN-ACCENT-G13083,2.965,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,favourite karuthamuthu,favorite karuthamuthu,favorite karu tamyoto,favorite karu tamyoto,1.0,0.2857,0.5,1.5
test,AESRC2020-INDIAN-ACCENT-G13842-G13842S2373,AESRC2020-INDIAN-ACCENT-G13842,3.369,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,will there be snow in amsterda,will there be snow in amsterda,will your best no one am stardah,will your best no one am stardah,1.0,0.4333,0.1667,1.1667
test,AESRC2020-INDIAN-ACCENT-G63002-G63002S2363,AESRC2020-INDIAN-ACCENT-G63002,4.18,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,does best jumbo wada pav center have takeaway,does best jumbo wada pav center have takeaway,dodge based jamboreada pausselnter have take away,dodge based jamboreada pausselnter have take away,1.0,0.3111,0.125,0.875
test,AESRC2020-INDIAN-ACCENT-G23685-G23685S2364,AESRC2020-INDIAN-ACCENT-G23685,4.47,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,play songs by benedict silberman orchestra and chorus,play songs by benedict silberman orchestra and chorus,play songs by bennie dick silver man or destroy and core,play songs by bennie dick silver man or destroy and core,0.875,0.2453,0.5,1.375
test,AESRC2020-INDIAN-ACCENT-G00891-G00891S2354,AESRC2020-INDIAN-ACCENT-G00891,5.155,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,play songs by mynampati sreeram chandra,play songs by mynampati sreeram chandra,play songs by maia pati shiri ram chandrav,play songs by maia pati shiri ram chandrav,0.8333,0.2051,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G02150-G02150S2365,AESRC2020-INDIAN-ACCENT-G02150,3.295,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,skip the next sukhwinder singh song,skip the next sukhwinder singh song,keep the next secret in the sink song,keep the next secret in the sink song,0.8333,0.4286,0.5,1.3333
test,AESRC2020-INDIAN-ACCENT-G03247-G03247S2366,AESRC2020-INDIAN-ACCENT-G03247,3.34,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,play rahmat da darya illahi,play rahmat da darya illahi,play rehimad dada ria ilahi,play rehimad dada ria ilahi,0.8,0.2593,0.2,1.0
test,AESRC2020-INDIAN-ACCENT-G01722-G01722S1300,AESRC2020-INDIAN-ACCENT-G01722,5.195,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,president clinton displayed no lack of vigor when he began to speak,president clinton displayed no lack of vigor when he began to speak,pressure and clinton the speed no like overwrecker when he begin to speed,pressure and clinton the speed no like overwrecker when he begin to speed,0.75,0.4179,0.4167,1.0833
test,AESRC2020-INDIAN-ACCENT-G23656-G23656S2366,AESRC2020-INDIAN-ACCENT-G23656,2.674,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,show me mundiyan lyrics,show me mundiyan lyrics,sauce ne mundiyah lyrics,sauce ne mundiyah lyrics,0.75,0.2609,0.25,1.0
test,AESRC2020-INDIAN-ACCENT-G01990-G01990S2365,AESRC2020-INDIAN-ACCENT-G01990,5.02,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,does hotel varadhman vihar cater for vegetarians,does hotel varadhman vihar cater for vegetarians,does hotel worth the man we are cater for vegetarians,does hotel worth the man we are cater for vegetarians,0.7143,0.25,0.7143,1.4286
test,AESRC2020-INDIAN-ACCENT-G01280-G01280S2355,AESRC2020-INDIAN-ACCENT-G01280,3.549,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,when did unni menon first debut,when did unni menon 1st debut,vand did only men on first debut,vand did only men on 1st debut,0.6667,0.2759,0.5,1.1667
test,AESRC2020-INDIAN-ACCENT-G01990-G01990S2364,AESRC2020-INDIAN-ACCENT-G01990,3.855,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,is redbus supported on mac os,is redbus supported on mac os,is red bus supported on mac o s,is red bus supported on mac 0 s,0.6667,0.1034,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G12238-G12238S2366,AESRC2020-INDIAN-ACCENT-G12238,2.72,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,when did gayatri iyer become famous,when did gayatri iyer become famous,when did guy three a year become famous,when did guy 3 a year become famous,0.6667,0.2,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G43652-G43652S2366,AESRC2020-INDIAN-ACCENT-G43652,2.09,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,skip apni mitti,skip apni mitti,skip your own mitti,skip your own mitti,0.6667,0.5333,0.6667,1.3333
test,AESRC2020-INDIAN-ACCENT-G02113-G02113S1297,AESRC2020-INDIAN-ACCENT-G02113,3.66,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,she feld the rubber tight to her face and breathed fast,she feld the rubber tight to her face and breathed fast,she felt that her but tight were face and bit fast,she felt that her but tight were face and bit fast,0.6364,0.3636,0.5455,1.0
test,AESRC2020-INDIAN-ACCENT-G22662-G22662S2354,AESRC2020-INDIAN-ACCENT-G22662,4.005,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,add the show taarak mehta ka ooltah chashmah to the queue,add the show taarak mehta ka ooltah chashmah to the queue,at the soo tarakment a kulta chesma to the queue,at the soo tarakment a kulta chesma to the queue,0.6364,0.2632,0.3,0.9091
test,AESRC2020-INDIAN-ACCENT-G03089-G03089S2365,AESRC2020-INDIAN-ACCENT-G03089,4.645,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,which awards has m k sankaran namboothiri won,which awards has m k sankaran namboothiri won,which awards has mk sun karan number three won,which awards has mk sun karan number 3 won,0.625,0.2444,0.5,1.125
test,AESRC2020-INDIAN-ACCENT-G03370-G03370S2354,AESRC2020-INDIAN-ACCENT-G03370,4.21,INDIAN,tiny_aesrc_ft_seed47,whisper_norm,gold,how much is protect handwash masterchef refill packet,how much is protect handwash masterchef refill packet,how much is protect hand wash master's hair refill packet,how much is protect hand wash master is hair refill packet,0.625,0.1509,0.75,1.375
