split,ID,Speaker_ID,Speech_Duration_seconds,Gender,Speech_Class,Native_Region,Discipline_Group,Topic,model,mode,reference_source,reference_raw,reference,hypothesis_raw,hypothesis,wer,cer,ref_recall,length_ratio
test,rbE6EuQLZbY,189,49.48,M,AVG,SOUTH,Non-Engineering,Removable Singularities,medium_ft_sizematch_s44,hf_raw,alt,so i will one s t define a removal similarity if function f is said to be is said to have a removable similarity at a point a if f is analytic in b prime a r for some r plus and if there is a function there is an analytic function g on the whole of b a r which means it it,so i will one s t define a removal similarity if function f is said to be is said to have a removable similarity at a point a if f is analytic in b prime a r for some r plus and if there is a function there is an analytic function g on the whole of b a r which means it it,"So, I will first define a removable singularity, if function f is said to be is said to have a removable singularity at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic at a point a, if f is analytic in b prime a r for some r positive and if there is a function, there is an analytic function,",so i will first define a removable singularity if function f is said to be is said to have a removable singularity at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic at a point a if f is analytic in b prime a r for some r positive and if there is a function there is an analytic function,6.0156,5.0993,0.65,6.5312
test,AL43D7MOxsU,194,22.62,M,FAST,EAST,Engineering,Desulphurisation,medium_ft_sizematch_s44,hf_raw,alt,agglomeration that means these particles they combine with each other agglomerate with each other they will float up and subsequently they will be absorbed by the basic slag but the whole this process this was very fast you know formation of alumina but this growth of the alumina particles they are floating up and getting absorbed by the top liquid,agglomeration that means these particles they combine with each other agglomerate with each other they will float up and subsequently they will be absorbed by the basic slag but the whole this process this was very fast you know formation of alumina but this growth of the alumina particles they are floating up and getting absorbed by the top liquid,multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-multi-,multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi multi,1.85,1.5171,0.0,1.85
test,E-r2EDS0uP4,226,29.75,M,SLOW,NORTH,Engineering,Lecture 3 Kinematics of machines,medium_ft_sizematch_s44,hf_raw,alt,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen three times n minus one minus two j so f is three into four minus two into five which,f which we have seen c times n minus 1 minus 2 j sorry this is I made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,f which we have seen c times n minus 1 minus 2 j sorry this is i made a mistake here j 2 is 1 but j 2 is 2 j 2 so this should be counted as 2 into 1 that is 2 and j is 5 so f is c into 4 minus 2 into 5 which is 2,1.8333,1.2642,0.7059,2.5417
test,Vpoi5W6a3lo,166,17.64,M,FAST,SOUTH,Non-Engineering,Distributions(contd),medium_ft_sizematch_s44,hf_raw,alt,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,is when the original distribution is normal like we said this distribution of sample means is also normal but we also went through this central limit theorem where we said as long as you are aggregating is sufficiently large number of distributions the resulting distribution starts to look,rate could be something like well two people arrive per minute okay so that's two and I want to ask the question what is the probability zero people will arrive over the next minute so I'd say on average two people arrive at the bus stop K is that zero right so I'll put I'll substitute K with zero,rate could be something like well two people arrive per minute okay so that s two and i want to ask the question what is the probability zero people will arrive over the next minute so i d say on average two people arrive at the bus stop k is that zero right so i ll put i ll substitute k with zero,1.2708,0.7931,0.1176,1.3125
test,vf0S_1ZITuA,203,32.75,M,SLOW,EAST,Engineering,Fundamentals of Discretization: Finite Difference and Finite Volume Method,medium_ft_sizematch_s44,hf_raw,alt,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,by two so that it becomes three and divided by two yes now whether it is plus or minus sign,"So, it was 3 factorial and that multiplied by 2. So, that it becomes 3. No, that was not. No, and divided by 2. And divided by 2, yes.",so it was 3 factorial and that multiplied by 2 so that it becomes 3 no that was not no and divided by 2 and divided by 2 yes,1.2,1.0,0.4706,1.45
test,lnD212vbPSk,70,26.769,M,FAST,SOUTH,Engineering,Sludge Treatment(Continued),medium_ft_sizematch_s44,hf_raw,alt,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,we will see the advantages of this sludge draining beds for other dewatering processes the cost involved is very very low for the sludge draining beds and infrequent attention is required because we can just go and dump the sludge on the sludge draining beds and it will automatically get dried because of evaporation and leaching,compare to the somewhat and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds ok once the sludge is dried how can we remove it ok we have to remove the sludge from the sludge drying bud manually so it is a labor intensive process,compare to the somewhat and it is a labor intensive sludge process as far as sludge removal is concerned because we are pumping the liquid sludge to the sludge drying buds ok once the sludge is dried how can we remove it ok we have to remove the sludge from the sludge drying bud manually so it is a labor intensive process,1.0,0.6848,0.2571,1.1071
test,kHeysMOk9h4,82,24.69,M,SLOW,NORTH,Engineering,Parallel Algorithm,medium_ft_sizematch_s44,hf_raw,alt,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,n cross n n plus one column is nothing but the b has been moved to n plus one that is you have a matrix and then you have b vector instead of putting b here i have put b here,one thing you do but numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that we have to tell me how i can do it,one thing you do but numerical methods problem generally we work on shared memory model but people are working nowadays on cluster machines now the next problem is that we have to tell me how i can do it,0.9756,0.8563,0.3214,0.9512
test,3vVJkvTsbXQ,88,25.36,M,SLOW,NORTH,Engineering,Open MP&PRAM Model of Computation,medium_ft_sizematch_s44,hf_raw,alt,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,not say assumption but it is an abstraction will talk about how it affect our analysis yes we one is the amount of resource how much memory i have how much local versus or shared,"I won't say assumption, but it is an abstraction. We will talk about how it affects our analysis. Sir, so as many number of processors as you need, which means it is valid for single processor to machine of even millions of processors. Yes, right. So, one is the amount of resources, how much memory I have, how much local versus odd shared",i won t say assumption but it is an abstraction we will talk about how it affects our analysis sir so as many number of processors as you need which means it is valid for single processor to machine of even millions of processors yes right so one is the amount of resources how much memory i have how much local versus odd shared,0.9714,0.8596,0.8667,1.8286
test,qx86xQ6UKmU,70,15.29,M,FAST,SOUTH,Engineering,Adsorption,medium_ft_sizematch_s44,hf_raw,alt,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,of the same charge into the solution in a chemically equivalent amount once again i will explain ion exchange is defined as the process where an insoluble substance removes ions of positive or negative charge from an electrolytic solution and releases other ions of the same charge,"by what is the concentration of B n plus in the solution. So, R n minus B n plus resin means activity of B n plus in the resin and B n plus 1 S means activity of B n plus in the solution.",by what is the concentration of b n plus in the solution so r n minus b n plus resin means activity of b n plus in the resin and b n plus 1 s means activity of b n plus in the solution,0.9574,0.7117,0.1667,0.9362
test,qBw8ZQrJeys,292,7.01,M,SLOW,SOUTH,Engineering,Level Testing,medium_ft_sizematch_s44,hf_raw,alt,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,that is also saw it as an input may not be a functional requirements this is a dependent in the message so next for is performance requirements let try to understand what performance that ports the entire process of booting up till operational mode,this we will continuing the next lecture on the stability of the system.,this we will continuing the next lecture on the stability of the system,0.8864,0.7944,0.1081,0.2955
